VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,    "probe_u1"    ,    "probe_u2"    ,    "probe_u3"    ,    "probe_u4"    ,    "probe_u5"    ,    "probe_v1"    ,    "probe_v2"    ,    "probe_v3"    ,    "probe_v4"    ,    "probe_v5"    ,    "probe_w1"    ,    "probe_w2"    ,    "probe_w3"    ,    "probe_w4"    ,    "probe_w5"    ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoW]"  ,  "relrms[RhoE]"  
          0,           0,          99,      -8.330574665,      -6.143831399,      -6.308037292,      -6.307650103,      -2.673865783,       362.5755528,       3.109124914,   5.650300559e-07,   0.0001914347558,   4.040194937e-08,   0.0001891271136,  -0.0009748134894,       3.109124914,   0.0001914347558,   5.650300559e-07,   1.817328256e-07,              -nan,       366.9270739,       366.9359544,       366.9357895,       366.9357499,       366.9357442,      0.4040049356,     0.02644136014,    0.002834268423,   0.0001595421591,   5.947679864e-06,   -0.003544699087,    0.000190611386,  -6.276669083e-05,  -5.606014204e-06,  -9.952046185e-08,      -2.837398063,      -3.287681574,      -2.668010301,      -2.668095178,      -2.659363688
          1,           0,          99,      -8.761465651,      -6.421750776,       -6.60118197,       -6.59774255,      -3.274456201,       362.5755528,        3.55611066,  -3.425244341e-05,   0.0001301748218,   1.054829233e-07,  -0.0001977641747,  -0.0007209898706,        3.55611066,   0.0001301748218,  -3.425244341e-05,  -9.631995931e-06,              -nan,       366.8971344,       366.9372163,       366.9358895,       366.9357936,        366.935749,       1.964488462,      0.2224567893,     0.03293153541,    0.002739983351,   0.0001598020654,    -0.01800152597,    0.001362440684,  -0.0004308614843,  -6.213026343e-05,  -2.396406512e-06,      -2.985342523,      -3.195909426,      -2.835002301,       -2.83302956,      -2.974439725
          2,           0,          99,      -7.276236719,      -4.703264052,       -5.33956542,      -5.339904338,      -2.197886777,       362.5755528,       3.562998291,  -1.272444912e-05,    0.000123751431,    1.19786194e-07,  -4.123208205e-05,  -0.0006635258851,       3.562998291,    0.000123751431,  -1.272444912e-05,  -3.571275672e-06,              -nan,       366.8700218,        366.939485,       366.9356947,       366.9358921,       366.9357888,       4.263040834,      0.8775645455,       0.178294364,     0.02051143207,    0.001844329974,    -0.03510981492,    0.004560741603,   -0.001929570167,  -0.0003967670082,  -1.102010083e-05,      -1.626167095,      -1.619858204,      -1.690266489,      -1.690532537,       -2.02405507
          3,           0,          99,       -7.40571794,       -4.75451605,      -5.532639192,      -5.529054718,       -2.41581403,       362.5755528,       3.515509658,  -2.066170384e-05,   0.0001691094582,   7.893683141e-08,  -7.469634129e-05,  -0.0009185003964,       3.515509658,   0.0001691094582,  -2.066170384e-05,  -5.877299693e-06,              -nan,       366.8323903,       366.9387584,        366.933559,       366.9361448,       366.9359553,       5.334778671,       2.131008802,      0.6088689054,     0.09462036207,     0.01188576165,    -0.02953802515,    0.009304377509,   -0.006218083643,    -0.00161614714,   9.056083685e-06,      -1.865733231,      -1.774258758,      -2.033828715,      -2.030132699,      -2.352124126
          4,           0,          99,      -7.506779325,      -4.965187013,      -5.745222219,      -5.742797101,       -2.69047192,       362.5755528,       3.396387375,   7.519695234e-06,   0.0001611735536,   9.462336501e-08,   7.153607577e-05,   -0.000885337007,       3.396387375,   0.0001611735536,   7.519695234e-06,   2.214027554e-06,              -nan,       366.8632224,       366.9322989,       366.9258615,       366.9362066,       366.9364274,       4.251020866,       3.521555332,       1.459216918,       0.312333467,     0.05094104372,     0.03530804293,     0.01458028248,    -0.01497034422,    -0.00486321984,   0.0002743624887,      -2.048585461,      -2.046282358,      -2.386224729,      -2.383715761,      -2.708889892
          5,           0,          99,      -9.200018684,      -7.169750904,      -7.373304874,      -7.302132652,      -3.836888235,       362.5755528,       3.227216299,   3.192735208e-05,   0.0001712156758,   9.727924727e-08,   0.0001833871824,  -0.0009517920978,       3.227216299,   0.0001712156758,   3.192735208e-05,   9.893155313e-06,              -nan,       366.9582384,       366.9103761,        366.912579,       366.9344259,       366.9374533,        2.09977632,       4.122959915,       2.585177475,      0.7823722107,      0.1655689328,      0.1401483859,     0.01444261967,    -0.02727466773,     -0.0113532837,    0.001232533571,      -3.812849149,      -4.300773563,      -4.133272654,      -4.062194545,      -3.928358759
          6,           0,          99,      -8.900083622,      -6.850679201,      -7.183581302,      -7.016269448,      -3.733327847,       362.5755528,       3.022300482,  -6.552945538e-06,   0.0001229535529,   8.940577866e-08,  -1.760643067e-05,  -0.0007080875015,       3.022300482,   0.0001229535529,  -6.552945538e-06,  -2.168197894e-06,              -nan,       367.0713403,       366.8911568,       366.8965742,       366.9273891,       366.9389956,       0.599628936,       3.505866263,       3.441618441,       1.536377897,      0.4282272881,      0.2349002034,     0.01379280319,    -0.03873387667,    -0.02126306275,     0.00369788725,      -3.585450452,      -4.028892836,      -4.043794908,      -3.875804774,      -3.896215255
          7,           0,          99,       -8.86764463,      -6.780132732,      -7.137184873,       -7.11610721,      -3.633110656,       362.5755528,       2.751517402,  -6.736806007e-06,    0.000132027711,   7.493887924e-08,  -3.064169753e-05,  -0.0007605803957,       2.751517402,    0.000132027711,  -6.736806007e-06,  -2.448396657e-06,              -nan,       367.1666699,       366.8704504,       366.8784414,       366.9149412,       366.9403024,      0.2722837504,       2.075596174,       3.507895273,       2.400860319,      0.9017235218,       0.269577558,     0.02302015803,    -0.04770740268,    -0.03430231132,    0.008667151781,       -3.62506761,      -4.002183964,      -4.082584092,      -4.060966005,      -3.862602416
          8,           0,          99,      -8.866047993,      -6.968153636,      -7.226129862,      -7.198993957,      -3.432022457,       362.5755528,        2.43390648,  -2.740218431e-05,   0.0001483758059,   5.852265357e-08,  -0.0001472608318,  -0.0008708925394,        2.43390648,   0.0001483758059,  -2.740218431e-05,   -1.12585198e-05,              -nan,       367.2382824,       366.8627338,       366.8840988,       366.9007708,       366.9402205,      0.4820180851,      0.7991207458,       2.717906499,       2.990340223,       1.566072493,      0.2379961773,      0.0437879744,    -0.05364089358,    -0.04663251934,     0.01668086703,       -3.68372682,       -4.22881234,      -4.248865864,      -4.221981559,      -3.717277926
          9,           0,          99,      -8.689118666,      -6.834828825,      -7.076967835,       -6.44574551,      -3.190786501,       362.5755528,       2.164930406,  -4.691455907e-05,   0.0001546723092,   4.033378842e-08,  -0.0002549987879,  -0.0009206194667,       2.164930406,   0.0001546723092,  -4.691455907e-05,  -2.167023888e-05,              -nan,        367.290621,        366.873302,       366.8958563,       366.8620957,       366.9403433,      0.6116758602,      0.2658623825,       1.488703033,       2.989328978,       2.246837956,       0.178559205,     0.06900014057,    -0.04782896839,    -0.05098224916,     0.02574109964,      -3.557678739,      -4.131598611,       -4.17279645,      -3.542058374,      -3.523892026
