Variables="Time[s]", "Total CD_Surface name: wall_capsule", "Total CL_Surface name: wall_capsule", "Total CD_Surface name: wall_aeroshell", "Total CL_Surface name: wall_aeroshell", "Total CD_Surface name: wall_sting", "Total CL_Surface name: wall_sting"
0.0, 0.449661, -0.156219, 1.845372, -0.322198, 0.026835, -0.229492
9.999999999999999e-06, 0.478861, -0.167502, 1.816736, -0.318627, 0.006114, -0.022046
1.9999999999999998e-05, 0.451905, -0.159219, 1.772735, -0.334511, 0.003414, -0.00689
2.9999999999999997e-05, 0.432747, -0.15255, 1.515036, -0.316514, 0.002727, -0.006099
3.9999999999999996e-05, 0.419346, -0.147934, 1.394512, -0.306552, 0.003498, -0.120996
4.9999999999999996e-05, 0.381973, -0.143996, 1.25122, -0.231493, 0.002819, -0.060045
5.9999999999999995e-05, 0.367681, -0.141484, 1.225078, -0.183495, 0.002424, -0.037505
7e-05, 0.360643, -0.139775, 1.169058, -0.167692, 0.002067, -0.037685
7.999999999999999e-05, 0.337078, -0.138356, 1.239678, -0.138368, 0.002172, -0.112825
8.999999999999999e-05, 0.312678, -0.137888, 1.376257, -0.094081, 0.002071, -0.172282
9.999999999999999e-05, 0.286859, -0.137857, 1.291085, -0.186109, 0.002056, -0.163213
