VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  
          0,           0,          95,      -7.734681351,      -5.471517274,      -6.753494393,       -2.14825843,       2.321868455,     -0.7079088871,                 0,                 0,                 0,     -0.8130207298,       2.321868455,     -0.7079088871,                 0,     -0.3048875941,        1.36972351,      -4.017406898,      -4.631838539,      -5.453760781,      -4.399554515
          1,           0,          99,      -6.405154017,      -3.532836835,      -4.895052849,     -0.5021526809,       2.636151791,     -0.7336483726,                 0,                 0,                 0,     -0.8806392661,       2.636151791,     -0.7336483726,                 0,     -0.2783027802,       2.147100349,      -2.529857222,       -2.50684543,      -3.691575723,      -2.558247211
          2,           0,          99,      -5.669634413,      -2.582362007,      -3.970945583,      0.3070043942,       2.389841216,     -0.6148517648,                 0,                 0,                 0,     -0.7668004062,       2.389841216,     -0.6148517648,                 0,     -0.2572772453,        3.60246746,      -1.805523379,      -1.598616219,      -2.771192376,      -1.798757161
          3,           0,          99,      -5.535115378,       -2.51256998,      -3.826504726,      0.3818879662,       2.244253106,     -0.5270110527,                 0,                 0,                 0,     -0.6992792184,       2.244253106,     -0.5270110527,                 0,     -0.2348269236,       3.710100887,      -1.724299462,      -1.609245056,      -2.619236114,      -1.794279101
          4,           0,          99,      -5.548546875,      -2.543169418,      -3.718214594,      0.3371207121,       2.254801599,     -0.5008742529,                 0,                 0,                 0,     -0.6942944617,       2.254801599,     -0.5008742529,                 0,     -0.2221367295,       3.705462359,      -1.773179436,      -1.695195078,       -2.54718296,       -1.88146284
          5,           0,          99,      -5.575959686,      -2.539068443,      -3.655733875,      0.3221114104,       2.297887524,     -0.5005931284,                 0,                 0,                 0,     -0.7030595543,       2.297887524,     -0.5005931284,                 0,     -0.2178492739,       3.534280403,      -1.820184033,      -1.710575482,      -2.521323376,      -1.917773827
          6,           0,          99,      -5.565100443,      -2.514080384,      -3.618179133,      0.3384081722,         2.3233462,     -0.5037100389,                 0,                 0,                 0,     -0.7078563834,         2.3233462,     -0.5037100389,                 0,     -0.2168036941,       2.521366023,      -1.829491919,      -1.719035148,      -2.499315927,      -1.921078959
          7,           0,          99,      -5.536085041,      -2.477641061,      -3.596734608,      0.3653295809,       2.323215163,     -0.5042530378,                 0,                 0,                 0,     -0.7075670529,       2.323215163,     -0.5042530378,                 0,     -0.2170496499,        2.25859042,       -1.82649379,       -1.72937766,      -2.489656747,      -1.921349369
          8,           0,          99,      -5.494059339,      -2.431216858,      -3.511053745,      0.4070773598,       2.313761399,     -0.5044166664,                 0,                 0,                 0,     -0.7082515083,       2.313761399,     -0.5044166664,                 0,     -0.2180072096,       2.096815824,      -1.809847435,      -1.719841766,      -2.412772551,      -1.905095565
          9,           0,          99,       -5.45398161,      -2.389302861,      -3.484835846,      0.4415954861,       2.305591328,     -0.5056868758,                 0,                 0,                 0,     -0.7116313318,       2.305591328,     -0.5056868758,                 0,     -0.2193306635,       2.130348647,      -1.789739038,      -1.704731621,      -2.390065559,      -1.888804482
