VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,     "probe1"     ,     "probe2"     ,     "probe3"     ,     "probe4"     ,     "probe5"     ,     "probe6"     ,     "probe7"     ,     "probe8"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoW]"  ,  "relrms[RhoE]"  
          0,           0,          99,      -8.330574665,      -6.143831399,      -6.308037292,      -6.307650103,      -2.673865783,       362.5755528,       3.109124914,   5.650300559e-07,   0.0001914347558,   4.040194937e-08,   0.0001891271136,  -0.0009748134894,       3.109124914,   0.0001914347558,   5.650300559e-07,   1.817328256e-07,              -0.0,       67320.99766,        67320.9368,       67320.92227,       67320.92018,       67320.92022,       67320.92024,       67320.92024,       67320.92024,      -2.837398063,      -3.287681574,      -2.668010301,      -2.668095178,      -2.659363688
          1,           0,          99,      -8.761465651,      -6.421750776,       -6.60118197,       -6.59774255,      -3.274456201,       362.5755528,        3.55611066,  -3.425244341e-05,   0.0001301748218,   1.054829233e-07,  -0.0001977641747,  -0.0007209898706,        3.55611066,   0.0001301748218,  -3.425244341e-05,  -9.631995931e-06,              -0.0,       67321.48508,       67320.97405,       67320.93831,       67320.92195,       67320.92044,        67320.9202,       67320.92024,       67320.92024,      -2.985342523,      -3.195909426,      -2.835002301,       -2.83302956,      -2.974439725
          2,           0,          99,      -7.276236719,      -4.703264052,       -5.33956542,      -5.339904338,      -2.197886777,       362.5755528,       3.562998291,  -1.272444912e-05,    0.000123751431,    1.19786194e-07,  -4.123208205e-05,  -0.0006635258851,       3.562998291,    0.000123751431,  -1.272444912e-05,  -3.571275672e-06,              -0.0,       67322.67788,       67320.91793,       67320.97466,       67320.93654,       67320.92373,       67320.92022,       67320.92023,       67320.92024,      -1.626167095,      -1.619858204,      -1.690266489,      -1.690532537,       -2.02405507
          3,           0,          99,       -7.40571794,       -4.75451605,      -5.532639192,      -5.529054718,       -2.41581403,       362.5755528,       3.515509658,  -2.066170384e-05,   0.0001691094582,   7.893683141e-08,  -7.469634129e-05,  -0.0009185003964,       3.515509658,   0.0001691094582,  -2.066170384e-05,  -5.877299693e-06,              -0.0,       67324.29684,       67320.30373,       67321.07167,        67320.9977,       67320.93167,       67320.92195,       67320.92016,       67320.92024,      -1.865733231,      -1.774258758,      -2.033828715,      -2.030132699,      -2.352124126
          4,           0,          99,      -7.506779325,      -4.965187013,      -5.745222219,      -5.742797101,       -2.69047192,       362.5755528,       3.396387375,   7.519695234e-06,   0.0001611735536,   9.462336501e-08,   7.153607577e-05,   -0.000885337007,       3.396387375,   0.0001611735536,   7.519695234e-06,   2.214027554e-06,              -0.0,       67325.85678,       67318.35869,       67321.13866,       67321.17218,       67320.93438,       67320.92998,       67320.92009,       67320.92024,      -2.048585461,      -2.046282358,      -2.386224729,      -2.383715761,      -2.708889892
          5,           0,          99,      -9.200018684,      -7.169750904,      -7.373304874,      -7.302132652,      -3.836888235,       362.5755528,       3.227216299,   3.192735208e-05,   0.0001712156758,   9.727924727e-08,   0.0001833871824,  -0.0009517920978,       3.227216299,   0.0001712156758,   3.192735208e-05,   9.893155313e-06,              -0.0,       67320.11155,       67315.76226,       67320.74258,       67321.56103,       67320.94278,       67320.94812,       67320.92013,       67320.92008,      -3.812849149,      -4.300773563,      -4.133272654,      -4.062194545,      -3.928358759
          6,           0,          99,      -8.900083622,      -6.850679201,      -7.183581302,      -7.016269448,      -3.733327847,       362.5755528,       3.022300482,  -6.552945538e-06,   0.0001229535529,   8.940577866e-08,  -1.760643067e-05,  -0.0007080875015,       3.022300482,   0.0001229535529,  -6.552945538e-06,  -2.168197894e-06,              -0.0,        67310.7061,       67312.47122,       67319.03489,       67322.20495,       67320.96697,       67321.01079,       67320.91557,        67320.9187,      -3.585450452,      -4.028892836,      -4.043794908,      -3.875804774,      -3.896215255
          7,           0,          99,       -8.86764463,      -6.780132732,      -7.137184873,       -7.11610721,      -3.633110656,       362.5755528,       2.751517402,  -6.736806007e-06,    0.000132027711,   7.493887924e-08,  -3.064169753e-05,  -0.0007605803957,       2.751517402,    0.000132027711,  -6.736806007e-06,  -2.448396657e-06,              -0.0,       67299.11802,       67306.04918,       67316.16971,       67322.99935,       67321.02788,       67321.17291,       67320.89532,       67320.91195,       -3.62506761,      -4.002183964,      -4.082584092,      -4.060966005,      -3.862602416
          8,           0,          99,      -8.866047993,      -6.968153636,      -7.226129862,      -7.198993957,      -3.432022457,       362.5755528,        2.43390648,  -2.740218431e-05,   0.0001483758059,   5.852265357e-08,  -0.0001472608318,  -0.0008708925394,        2.43390648,   0.0001483758059,  -2.740218431e-05,   -1.12585198e-05,              -0.0,       67294.45299,       67305.66591,       67312.55996,       67323.78913,       67321.23193,       67321.46275,       67320.81822,       67320.88692,       -3.68372682,       -4.22881234,      -4.248865864,      -4.221981559,      -3.717277926
          9,           0,          99,      -8.689118666,      -6.834828825,      -7.076967835,       -6.44574551,      -3.190786501,       362.5755528,       2.164930406,  -4.691455907e-05,   0.0001546723092,   4.033378842e-08,  -0.0002549987879,  -0.0009206194667,       2.164930406,   0.0001546723092,  -4.691455907e-05,  -2.167023888e-05,              -0.0,       67298.04759,       67307.39395,       67298.36796,       67325.13224,       67321.78336,       67321.70185,        67320.5219,        67320.7898,      -3.557678739,      -4.131598611,       -4.17279645,      -3.542058374,      -3.523892026
         10,           0,          99,      -8.537234177,      -7.025161493,      -7.077531818,      -7.004382547,      -3.015785793,       362.5755528,       2.002629527,  -3.282931895e-05,   0.0001517087133,   2.487808075e-08,  -0.0001748763974,  -0.0009105110318,       2.002629527,   0.0001517087133,  -3.282931895e-05,  -1.639310641e-05,              -0.0,       67302.34434,       67309.83294,       67284.85718,       67320.81128,       67323.20978,       67321.03561,       67319.50077,         67320.438,      -3.451296703,      -4.355833069,      -4.233349129,      -4.160600535,      -3.391339519
         11,           0,          99,      -8.454722508,      -7.017402249,      -7.021676644,      -6.944558067,      -2.954856334,       362.5755528,        1.94334513,  -4.456454056e-05,   0.0001142130142,   8.983426418e-09,  -0.0002396914222,  -0.0006946165097,        1.94334513,   0.0001142130142,  -4.456454056e-05,  -2.293187138e-05,              -0.0,       67298.73619,       67303.99285,       67267.20133,       67306.82265,       67320.96657,       67317.05866,       67316.41803,       67319.33785,      -3.410380122,      -4.380920286,      -4.227613074,      -4.151256716,      -3.368987632
         12,           0,          99,       -8.45945022,       -7.07238555,      -7.070216125,      -6.974401096,      -3.000856651,       362.5755528,       1.957427723,  -3.961340394e-05,    9.03238401e-05,   5.089510071e-09,  -0.0002208865725,  -0.0005534250166,       1.957427723,    9.03238401e-05,  -3.961340394e-05,  -2.023747976e-05,              -0.0,       67265.38672,       67268.48946,       67227.60506,       67277.95692,       67302.07525,       67304.51557,       67308.15527,       67316.31089,      -3.452515902,       -4.46946428,      -4.321947694,      -4.226374824,      -3.450242244
         13,           0,          99,      -8.523866783,      -6.933961239,      -7.016138678,      -6.965614529,      -3.104596277,       362.5755528,       2.001882356,  -4.104561249e-05,   5.208178547e-05,   9.050611492e-09,   -0.000241272961,  -0.0003198086445,       2.001882356,   5.208178547e-05,  -4.104561249e-05,  -2.050350879e-05,              -0.0,       67159.49193,       67164.21213,       67131.55414,       67208.36142,       67254.82437,       67267.13308,       67288.15746,       67308.81064,      -3.548972277,      -4.365691754,      -4.308520762,      -4.257855429,      -3.585152721
         14,           0,          99,      -8.600871794,      -6.804736674,      -6.972026806,      -6.940527555,      -3.214947619,       362.5755528,       2.043019721,  -4.324237195e-05,   6.159317864e-05,   1.436686714e-08,  -0.0002741539349,  -0.0003616218375,       2.043019721,   6.159317864e-05,  -4.324237195e-05,   -2.11659102e-05,              -0.0,       66909.19958,       66929.24359,       66920.84022,       67057.18989,       67146.94297,       67180.03484,       67243.64793,       67291.87625,      -3.655173785,      -4.272193187,      -4.300137071,      -4.268460263,      -3.724208015
         15,           0,          99,      -8.678036817,      -7.076887589,      -7.190310787,      -7.140635664,      -3.320332231,       362.5755528,       2.065751004,  -3.496259373e-05,    5.78725885e-05,   1.392507803e-08,   -0.000246181768,   -0.000330236218,       2.065751004,    5.78725885e-05,  -3.496259373e-05,  -1.692488284e-05,              -0.0,       66418.14247,       66477.80079,        66519.5082,       66764.89098,       66929.71245,       67012.07218,       67154.02836,       67256.88993,      -3.759559009,      -4.580206266,      -4.551337927,      -4.501993486,      -3.856782642
         16,           0,          99,      -8.731987858,      -7.289259811,      -7.343353506,      -7.279723003,      -3.392212207,       362.5755528,        2.06823668,   1.223086535e-05,   5.029301092e-05,   1.108060394e-08,   1.290492303e-06,  -0.0002878937897,        2.06823668,   5.029301092e-05,   1.223086535e-05,   5.913668135e-06,              -0.0,       65589.19961,       65718.44535,       65846.30716,       66263.46767,       66545.37388,        66719.0235,        66991.7353,       67191.33658,      -3.838701316,      -4.826909414,       -4.73469352,      -4.671936979,      -3.954162383
